0,ADHD_Ritalin_C0002658,ADHD_Amphetamine_C0002658,ADHD_Clonidine_C0009014,ADHD_Methamphetamine_C0025611,ADHD_Omega-3 polyunsaturated fatty acids_C0015689,Alcohol Dependence_Naltrexone_C0027360,Alcohol Dependence_Disulfiram_C0012772,Alcohol Withdrawal_Gabapentin_C0060926,Alcohol Withdrawal_Diazepam_C0012010,Alcohol Withdrawal_Valium_C0012010,Alcohol Withdrawal_Clonidine_C0009014,Anxiety_Gabapentin_C0060926,Anxiety_Diazepam_C0012010,Anxiety_Valium_C0012010,Anxiety_Propranolol_C0033497,Anxiety_Tramadol_C0040610,Anxiety_Atenolol_C0004147,Anxiety_Clonidine_C0009014,Anxiety_Lamotrigine_C0064636,Anxiety_Prochlorperazine_C0033229,Anxiety_Dilantin_C0031507,Anxiety_Phenytoin_C0031507,Anxiety and Stress_Fluoxetine_C0016365,Anxiety and Stress_Amitriptyline_C0002600,Anxiety and Stress_Elavil_C0002600,Anxiety and Stress_Prazosin_C0032912,Binge Eating Disorde_Fluoxetine_C0016365,Bipolar Disorde_Lamotrigine_C0064636,Bipolar Disorde_Quetiapine_C0123091,Bipolar Disorde_Lithium_C0023870,Bipolar Disorde_Olanzapine_C0171023,Bipolar Disorde_Gabapentin_C0060926,Bipolar Disorde_Carbamazepine_C0006949,Bipolar Disorde_Valproic acid_C0042291,Bipolar Disorde_Clonidine_C0009014,Borderline Personality Disorde_Quetiapine_C0123091,Borderline Personality Disorde_Lamotrigine_C0064636,Borderline Personality Disorde_Olanzapine_C0171023,Borderline Personality Disorde_Lithium_C0023870,Borderline Personality Disorde_Fluoxetine_C0016365,Borderline Personality Disorde_Clozapine_C0009079,Borderline Personality Disorde_Carbamazepine_C0006949,Bulimia_Fluoxetine_C0016365,Depression_Fluoxetine_C0016365,Depression_Quetiapine_C0123091,Depression_Tramadol_C0040610,Depression_Lamotrigine_C0064636,Depression_Olanzapine_C0171023,Depression_Amitriptyline_C0002600,Depression_Lithium_C0023870,Depression_Elavil_C0002600,Depression_Desipramine_C0011685,Depression_Imipramine_C0020934,Depression_S-adenosylmethionine_C0036002,Depression_Tofranil_C0020934,Depression_Tryptophan_C0041249,Generalized Anxiety Disorde_Pregabalin_C0657912,Generalized Anxiety Disorde_Quetiapine_C0123091,Generalized Anxiety Disorde_Lyrica_C0657912,Hypersomnia_Caffeine_C0006644,Insomnia_Quetiapine_C0123091,Insomnia_Amitriptyline_C0002600,Insomnia_Melatonin_C0025219,Insomnia_Diphenhydramine_C0012522,Insomnia_Gabapentin_C0060926,Insomnia_Olanzapine_C0171023,Insomnia_Elavil_C0002600,Insomnia_Tryptophan_C0041249,Major Depressive Disorde_Fluoxetine_C0016365,Major Depressive Disorde_Quetiapine_C0123091,Major Depressive Disorde_Olanzapine_C0171023,mance Anxiety_Propranolol_C0033497,Mania_Lithium_C0023870,Mania_Chlorpromazine_C0008286,Mania_Haloperidol_C0018546,Mania_Valproic acid_C0042291,Obsessive Compulsive Disorde_Fluoxetine_C0016365,Obsessive Compulsive Disorde_Quetiapine_C0123091,Obsessive Compulsive Disorde_Olanzapine_C0171023,Opiate Dependence_Buprenorphine / naloxone_C1169989,Opiate Dependence_Buprenorphine_C0006405,Opiate Dependence_Naltrexone_C0027360,Opiate Withdrawal_Methadone_C0025605,Opiate Withdrawal_Clonidine_C0009014,Opiate Withdrawal_Chlorpromazine_C0008286,Opiate Withdrawal_Tramadol_C0040610,Panic Disorde_Fluoxetine_C0016365,Panic Disorde_Propranolol_C0033497,Panic Disorde_Imipramine_C0020934,Panic Disorde_Tofranil_C0020934,Paranoid Disorde_Olanzapine_C0171023,Paranoid Disorde_Quetiapine_C0123091,Paranoid Disorde_Clozapine_C0009079,Post Traumatic Stress Disorde_Prazosin_C0032912,Post Traumatic Stress Disorde_Quetiapine_C0123091,Post Traumatic Stress Disorde_Lamotrigine_C0064636,Post Traumatic Stress Disorde_Amitriptyline_C0002600,Post Traumatic Stress Disorde_Elavil_C0002600,Postpartum Depression_Fluoxetine_C0016365,Premenstrual Dysphoric Disorde_Fluoxetine_C0016365,Schizoaffective Disorde_Olanzapine_C0171023,Schizoaffective Disorde_Quetiapine_C0123091,Schizoaffective Disorde_Lamotrigine_C0064636,Schizoaffective Disorde_Lithium_C0023870,Schizoaffective Disorde_Valproic acid_C0042291,Schizophrenia_Olanzapine_C0171023,Schizophrenia_Quetiapine_C0123091,Schizophrenia_Clozapine_C0009079,Schizophrenia_Chlorpromazine_C0008286,Sexual Dysfunction; SSRI Induced_Sildenafil_C0724693,Sexual Dysfunction; SSRI Induced_Yohimbine_C0724441,Tourette's Syndrome_Clonidine_C0009014,Tourette's Syndrome_Haloperidol_C0018546,Tourette's Syndrome_Olanzapine_C0171023
ADHD_Ritalin_C0002658,1.0,1.0,0.03409372761842683,0.13392414628529864,0.0,0.0,0.0,0.06726810836894608,0.019961461788749007,0.019961461788749007,0.03409372761842683,0.06726810836894608,0.019961461788749007,0.019961461788749007,0.024854539309149395,0.0,0.0,0.03409372761842683,0.022851811671477304,0.045343178928827416,0.03384016129929282,0.03384016129929282,0.03440389219203692,0.0,0.0,0.0,0.03440389219203692,0.022851811671477304,0.06769154176116392,0.0128186594815601,0.0,0.06726810836894608,0.012771260609738927,0.02726586161445039,0.03409372761842683,0.06769154176116392,0.022851811671477304,0.0,0.0128186594815601,0.03440389219203692,0.04561545651467742,0.012771260609738927,0.03440389219203692,0.03440389219203692,0.06769154176116392,0.0,0.022851811671477304,0.0,0.0,0.0128186594815601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06769154176116392,0.0,0.007089558985355242,0.06769154176116392,0.0,0.028217833813413633,0.0,0.06726810836894608,0.0,0.0,0.0,0.03440389219203692,0.06769154176116392,0.0,0.024854539309149395,0.0128186594815601,0.06764474797927508,0.06782027608111538,0.02726586161445039,0.03440389219203692,0.06769154176116392,0.0,0.0,0.03440074800216936,0.0,0.034233358370650925,0.03409372761842683,0.06764474797927508,0.0,0.03440389219203692,0.024854539309149395,0.0,0.0,0.0,0.06769154176116392,0.04561545651467742,0.0,0.06769154176116392,0.022851811671477304,0.0,0.0,0.03440389219203692,0.03440389219203692,0.0,0.06769154176116392,0.022851811671477304,0.0128186594815601,0.02726586161445039,0.0,0.06769154176116392,0.04561545651467742,0.06764474797927508,0.0,0.0,0.03409372761842683,0.06782027608111538,0.0
ADHD_Amphetamine_C0002658,1.0,1.0,0.03409372761842683,0.13392414628529864,0.0,0.0,0.0,0.06726810836894608,0.019961461788749007,0.019961461788749007,0.03409372761842683,0.06726810836894608,0.019961461788749007,0.019961461788749007,0.024854539309149395,0.0,0.0,0.03409372761842683,0.022851811671477304,0.045343178928827416,0.03384016129929282,0.03384016129929282,0.03440389219203692,0.0,0.0,0.0,0.03440389219203692,0.022851811671477304,0.06769154176116392,0.0128186594815601,0.0,0.06726810836894608,0.012771260609738927,0.02726586161445039,0.03409372761842683,0.06769154176116392,0.022851811671477304,0.0,0.0128186594815601,0.03440389219203692,0.04561545651467742,0.012771260609738927,0.03440389219203692,0.03440389219203692,0.06769154176116392,0.0,0.022851811671477304,0.0,0.0,0.0128186594815601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06769154176116392,0.0,0.007089558985355242,0.06769154176116392,0.0,0.028217833813413633,0.0,0.06726810836894608,0.0,0.0,0.0,0.03440389219203692,0.06769154176116392,0.0,0.024854539309149395,0.0128186594815601,0.06764474797927508,0.06782027608111538,0.02726586161445039,0.03440389219203692,0.06769154176116392,0.0,0.0,0.03440074800216936,0.0,0.034233358370650925,0.03409372761842683,0.06764474797927508,0.0,0.03440389219203692,0.024854539309149395,0.0,0.0,0.0,0.06769154176116392,0.04561545651467742,0.0,0.06769154176116392,0.022851811671477304,0.0,0.0,0.03440389219203692,0.03440389219203692,0.0,0.06769154176116392,0.022851811671477304,0.0128186594815601,0.02726586161445039,0.0,0.06769154176116392,0.04561545651467742,0.06764474797927508,0.0,0.0,0.03409372761842683,0.06782027608111538,0.0
ADHD_Clonidine_C0009014,0.034093727618426835,0.034093727618426835,1.0,0.03514960512999028,0.0,0.03859512529421429,0.0,0.05154380479763513,0.017829659333554067,0.017829659333554067,1.0,0.05154380479763513,0.017829659333554067,0.017829659333554067,0.007277877455230367,0.032007476982907436,0.0,1.0,0.017807690231754453,0.03453812367253585,0.02581562014028272,0.02581562014028272,0.026601921232703697,0.0,0.0,0.0,0.026601921232703697,0.017807690231754453,0.05063282749899195,0.010258966826312658,0.0,0.05154380479763513,0.010261938658053835,0.02142158672091296,1.0,0.05063282749899195,0.017807690231754453,0.0,0.010258966826312658,0.026601921232703697,0.03429812367845061,0.010261938658053835,0.026601921232703697,0.026601921232703697,0.05063282749899195,0.032007476982907436,0.017807690231754453,0.0,0.0,0.010258966826312658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063282749899195,0.0,0.016376504333517453,0.05063282749899195,0.0,0.007207943937764006,0.0,0.05154380479763513,0.0,0.0,0.0,0.026601921232703697,0.05063282749899195,0.0,0.007277877455230367,0.010258966826312658,0.051235669979317326,0.018760733505613258,0.02142158672091296,0.026601921232703697,0.05063282749899195,0.0,0.0,0.031720898967726514,0.03859512529421429,0.08285981559837827,1.0,0.051235669979317326,0.032007476982907436,0.026601921232703697,0.007277877455230367,0.0,0.0,0.0,0.05063282749899195,0.03429812367845061,0.0,0.05063282749899195,0.017807690231754453,0.0,0.0,0.026601921232703697,0.026601921232703697,0.0,0.05063282749899195,0.017807690231754453,0.010258966826312658,0.02142158672091296,0.0,0.05063282749899195,0.03429812367845061,0.051235669979317326,0.0,0.0,1.0,0.018760733505613258,0.0
ADHD_Methamphetamine_C0025611,0.1339241462852986,0.1339241462852986,0.035149605129990276,1.0,0.0,0.0,0.0,0.06727538177795657,0.0199263833404592,0.0199263833404592,0.035149605129990276,0.06727538177795657,0.0199263833404592,0.0199263833404592,0.024751872219762577,0.0,0.0,0.035149605129990276,0.022854236141147462,0.04569038259235558,0.03384379800379807,0.03384379800379807,0.03440752889654216,0.0,0.0,0.0,0.03440752889654216,0.022854236141147462,0.06769881517017441,0.012819981919562004,0.0,0.06727538177795657,0.012772583047740833,0.02726877097805458,0.035149605129990276,0.06769881517017441,0.022854236141147462,0.0,0.012819981919562004,0.03440752889654216,0.04562030545401774,0.012772583047740833,0.03440752889654216,0.03440752889654216,0.06769881517017441,0.0,0.022854236141147462,0.0,0.0,0.012819981919562004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06769881517017441,0.0,0.009089408977171714,0.06769881517017441,0.0,0.02759200453643045,0.0,0.06727538177795657,0.0,0.0,0.0,0.03440752889654216,0.06769881517017441,0.0,0.024751872219762577,0.012819981919562004,0.06765202138828556,0.06777858131589945,0.02726877097805458,0.03440752889654216,0.06769881517017441,0.0,0.0,0.034404384706674604,0.0,0.03423699507515617,0.035149605129990276,0.06765202138828556,0.0,0.03440752889654216,0.024751872219762577,0.0,0.0,0.0,0.06769881517017441,0.04562030545401774,0.0,0.06769881517017441,0.022854236141147462,0.0,0.0,0.03440752889654216,0.03440752889654216,0.0,0.06769881517017441,0.022854236141147462,0.012819981919562004,0.02726877097805458,0.0,0.06769881517017441,0.04562030545401774,0.06765202138828556,0.0,0.0,0.035149605129990276,0.06777858131589945,0.0
ADHD_Omega-3 polyunsaturated fatty acids_C0015689,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010039019159073025,0.0,0.0,0.0,0.0,0.0,0.0,0.010039019159073025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010039019159073025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010039019159073025,0.0,0.0,0.0,0.0,0.010039019159073025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010039019159073025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010039019159073025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010039019159073025,0.0,0.0,0.0,0.0,0.010039019159073025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010039019159073025
Alcohol Dependence_Naltrexone_C0027360,0.0,0.0,0.0385951252942143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0385951252942143,0.0,0.0,0.0,0.0,0.0,0.0,0.0385951252942143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385951252942143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15314371660661824,0.0,1.0,0.04035999699264004,0.0385951252942143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385951252942143,0.0,0.0
Alcohol Dependence_Disulfiram_C0012772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01965194935928294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcohol Withdrawal_Gabapentin_C0060926,0.06726810836894608,0.06726810836894608,0.051543804797635144,0.06727538177795657,0.0,0.0,0.0,1.0,0.029473540215232737,0.029473540215232737,0.051543804797635144,1.0,0.029473540215232737,0.029473540215232737,0.012306833663993827,0.0,0.0,0.051543804797635144,0.03404843643541737,0.06728748594116603,0.05066409903364234,0.05066409903364234,0.05063968350724251,0.0,0.0,0.0,0.05063968350724251,0.03404843643541737,0.10095553617750197,0.018713711157167322,0.0,1.0,0.01878714877600898,0.040624409892318664,0.051543804797635144,0.10095553617750197,0.03404843643541737,0.0,0.018713711157167322,0.05063968350724251,0.06757291887095151,0.01878714877600898,0.05063968350724251,0.05063968350724251,0.10095553617750197,0.0,0.03404843643541737,0.0,0.0,0.018713711157167322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10095553617750197,0.0,0.009948513180101447,0.10095553617750197,0.0,0.013691802399056922,0.0,1.0,0.0,0.0,0.0,0.05063968350724251,0.10095553617750197,0.0,0.012306833663993827,0.018713711157167322,0.10093634722971011,0.033928083470303565,0.040624409892318664,0.05063968350724251,0.10095553617750197,0.0,0.0,0.05078570547884362,0.0,0.051538079811908694,0.051543804797635144,0.10093634722971011,0.0,0.05063968350724251,0.012306833663993827,0.0,0.0,0.0,0.10095553617750197,0.06757291887095151,0.0,0.10095553617750197,0.03404843643541737,0.0,0.0,0.05063968350724251,0.05063968350724251,0.0,0.10095553617750197,0.03404843643541737,0.018713711157167322,0.040624409892318664,0.0,0.10095553617750197,0.06757291887095151,0.10093634722971011,0.0,0.0,0.051543804797635144,0.033928083470303565,0.0
Alcohol Withdrawal_Diazepam_C0012010,0.01996146178874901,0.01996146178874901,0.017829659333554067,0.019926383340459205,0.0,0.0,0.0,0.02947354021523274,1.0,1.0,0.017829659333554067,0.02947354021523274,1.0,1.0,0.004581274223956417,0.0,0.0,0.017829659333554067,0.011076871426610284,0.020096012465239177,0.015285606136163202,0.015285606136163202,0.017162937777113318,0.0,0.0,0.0,0.017162937777113318,0.011076871426610284,0.029087327594348806,0.0068655831037906165,0.0,0.02947354021523274,0.007022904024015087,0.013634876541035616,0.017829659333554067,0.029087327594348806,0.011076871426610284,0.0,0.0068655831037906165,0.017162937777113318,0.02015118417643712,0.007022904024015087,0.017162937777113318,0.017162937777113318,0.029087327594348806,0.0,0.011076871426610284,0.0,0.0,0.0068655831037906165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029087327594348806,0.0,0.003829347047217213,0.029087327594348806,0.0,0.004535708412584561,0.0,0.02947354021523274,0.0,0.0,0.0,0.017162937777113318,0.029087327594348806,0.0,0.004581274223956417,0.0068655831037906165,0.03010591024273649,0.0316195751597365,0.013634876541035616,0.017162937777113318,0.029087327594348806,0.0,0.0,0.01875096807131724,0.0,0.017690676603378686,0.017829659333554067,0.03010591024273649,0.0,0.017162937777113318,0.004581274223956417,0.0,0.0,0.0,0.029087327594348806,0.02015118417643712,0.0,0.029087327594348806,0.011076871426610284,0.0,0.0,0.017162937777113318,0.017162937777113318,0.0,0.029087327594348806,0.011076871426610284,0.0068655831037906165,0.013634876541035616,0.0,0.029087327594348806,0.02015118417643712,0.03010591024273649,0.0,0.0,0.017829659333554067,0.0316195751597365,0.0
Alcohol Withdrawal_Valium_C0012010,0.01996146178874901,0.01996146178874901,0.017829659333554067,0.019926383340459205,0.0,0.0,0.0,0.02947354021523274,1.0,1.0,0.017829659333554067,0.02947354021523274,1.0,1.0,0.004581274223956417,0.0,0.0,0.017829659333554067,0.011076871426610284,0.020096012465239177,0.015285606136163202,0.015285606136163202,0.017162937777113318,0.0,0.0,0.0,0.017162937777113318,0.011076871426610284,0.029087327594348806,0.0068655831037906165,0.0,0.02947354021523274,0.007022904024015087,0.013634876541035616,0.017829659333554067,0.029087327594348806,0.011076871426610284,0.0,0.0068655831037906165,0.017162937777113318,0.02015118417643712,0.007022904024015087,0.017162937777113318,0.017162937777113318,0.029087327594348806,0.0,0.011076871426610284,0.0,0.0,0.0068655831037906165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029087327594348806,0.0,0.003829347047217213,0.029087327594348806,0.0,0.004535708412584561,0.0,0.02947354021523274,0.0,0.0,0.0,0.017162937777113318,0.029087327594348806,0.0,0.004581274223956417,0.0068655831037906165,0.03010591024273649,0.0316195751597365,0.013634876541035616,0.017162937777113318,0.029087327594348806,0.0,0.0,0.01875096807131724,0.0,0.017690676603378686,0.017829659333554067,0.03010591024273649,0.0,0.017162937777113318,0.004581274223956417,0.0,0.0,0.0,0.029087327594348806,0.02015118417643712,0.0,0.029087327594348806,0.011076871426610284,0.0,0.0,0.017162937777113318,0.017162937777113318,0.0,0.029087327594348806,0.011076871426610284,0.0068655831037906165,0.013634876541035616,0.0,0.029087327594348806,0.02015118417643712,0.03010591024273649,0.0,0.0,0.017829659333554067,0.0316195751597365,0.0
