condition,drugName,rating_count,average_rating,cui
ADHD,Lisdexamfetamine,548,7.697080292,C1873633
ADHD,Lisdexamfetamine,548,7.697080292,C1739826
ADHD,Lisdexamfetamine,548,7.697080292,C5191482
ADHD,Vyvanse,540,7.677777778,C1876807
ADHD,Vyvanse,540,7.677777778,C3241344
ADHD,Vyvanse,540,7.677777778,C3859815
ADHD,Methylphenidate,513,7.382066277,C0025810
ADHD,Methylphenidate,513,7.382066277,C0524188
ADHD,Methylphenidate,513,7.382066277,C0700545
ADHD,Amphetamine / dextroamphetamine,456,7.967105263,C0795571
ADHD,Amphetamine / dextroamphetamine,456,7.967105263,C2224242
ADHD,Amphetamine / dextroamphetamine,456,7.967105263,C3207399
ADHD,Atomoxetine,285,5.438596491,C0076823
ADHD,Atomoxetine,285,5.438596491,C1170741
ADHD,Atomoxetine,285,5.438596491,C1577882
ADHD,Strattera,277,5.433212996,C1176420
ADHD,Strattera,277,5.433212996,C3234069
ADHD,Strattera,277,5.433212996,C1169942
ADHD,Concerta,257,7.13229572,C0939301
ADHD,Concerta,257,7.13229572,C3222292
ADHD,Concerta,257,7.13229572,C3222291
ADHD,Adderall,227,8.224669604,C0290795
ADHD,Adderall,227,8.224669604,C1170024
ADHD,Adderall,227,8.224669604,C3224737
ADHD,Guanfacine,156,5.737179487,C0079466
ADHD,Guanfacine,156,5.737179487,C0700472
ADHD,Guanfacine,156,5.737179487,C1246418
ADHD,Adderall XR,139,8.26618705,C1170024
ADHD,Adderall XR,139,8.26618705,C2719910
ADHD,Adderall XR,139,8.26618705,C2719906
ADHD,Dexmethylphenidate,120,7.441666667,C1169997
ADHD,Dexmethylphenidate,120,7.441666667,C1170743
ADHD,Dexmethylphenidate,120,7.441666667,C4752795
ADHD,Intuniv,107,6.177570093,C2721782
ADHD,Intuniv,107,6.177570093,C3227481
ADHD,Intuniv,107,6.177570093,C2980486
ADHD,Dextroamphetamine,94,8.712765957,C0011812
ADHD,Dextroamphetamine,94,8.712765957,C0011810
ADHD,Dextroamphetamine,94,8.712765957,C0724568
ADHD,Ritalin,76,7.447368421,C0728759
ADHD,Ritalin,76,7.447368421,C0002658
ADHD,Ritalin,76,7.447368421,C0723094
ADHD,Bupropion,72,7.5,C0085208
ADHD,Bupropion,72,7.5,C0484898
ADHD,Bupropion,72,7.5,C0700563
ADHD,Daytrana,61,8.262295082,C1691676
ADHD,Daytrana,61,8.262295082,C3466974
ADHD,Daytrana,61,8.262295082,C3223695
ADHD,Focalin XR,58,7.844827586,C1659527
ADHD,Focalin XR,58,7.844827586,C3154599
ADHD,Focalin XR,58,7.844827586,C1613009
ADHD,Dexedrine,57,8.421052632,C0591355
ADHD,Dexedrine,57,8.421052632,C0305892
ADHD,Dexedrine,57,8.421052632,C3229817
ADHD,Amphetamine,54,6.518518519,C0002658
ADHD,Amphetamine,54,6.518518519,C0428221
ADHD,Amphetamine,54,6.518518519,C0002667
ADHD,Focalin,53,6.886792453,C1170283
ADHD,Focalin,53,6.886792453,C1659527
ADHD,Focalin,53,6.886792453,C3225948
ADHD,Clonidine,36,8.25,C0009014
ADHD,Clonidine,36,8.25,C0546860
ADHD,Clonidine,36,8.25,C0274741
ADHD,Metadate CD,34,7.117647059,C0939378
ADHD,Metadate CD,34,7.117647059,C1694328
ADHD,Metadate CD,34,7.117647059,C4082920
ADHD,Methamphetamine,28,8.714285714,C0025611
ADHD,Methamphetamine,28,8.714285714,C0282233
ADHD,Methamphetamine,28,8.714285714,C1533217
ADHD,Adzenys XR-ODT,21,5.952380952,C4084344
ADHD,Adzenys XR-ODT,21,5.952380952,C4083449
