subject_cui;subject_name;predicate;object_cui;object_name;frequency
C0380603|2247;Fibroblast Growth Factor 2|FGF2;AUGMENTS;C0005847;Blood Vessels;6
C0079189;cytokine;AUGMENTS;C0018270;Growth;184
C0079189;cytokine;AUGMENTS;C0302600;Angiogenesis;93
C0911014;ghrelin;AUGMENTS;C0013470;Eating;299
C0911014;ghrelin;AUGMENTS;C1154417;growth hormone secretion;77
C0597357;receptor;AUGMENTS;C0013470;Eating;15
C0597357;receptor;AUGMENTS;C1154417;growth hormone secretion;7
C0041964;Urethane;AUGMENTS;C0024109;Lung;39
C0023610|2796;Gonadorelin|GNRH1;AUGMENTS;C0017262;Gene Expression;8
C0022020;Ionomycin;AUGMENTS;C0007634;Cells;90
C0043047;Water;AUGMENTS;C1395184;depolarization;7
C1141639|1081|3342|93659;Human Chorionic Gonadotropin|CGA|HTC2|CGB5;AUGMENTS;C0018120;Ovarian Follicle;14
C0015075;Ethylene;AUGMENTS;C0018270;Growth;83
C0020063|5741;PTH protein, human|PTH;AUGMENTS;C0085268;Bone remodeling;15
C0020063|5741;PTH protein, human|PTH;AUGMENTS;C0029433;Osteogenesis;158
C0012854;DNA;AUGMENTS;C1510699;ATP Hydrolysis;53
C0010656;caspase;AUGMENTS;C1330957;Cytokinesis of the fertilized ovum;159
C0015075;Ethylene;AUGMENTS;C1160534;ripening;65
C0033684;Proteins;AUGMENTS;C0333262;Vesicle;23
C0021641;Insulin;AUGMENTS;C0599781;glucose uptake;1756
C0023828;Liposomes;AUGMENTS;C0020964;Immunity;14
C0003320;Antigens;AUGMENTS;C1516031;Antitumor Response;34
C0010531;Cyclic AMP-Dependent Protein Kinases;AUGMENTS;C0598501;Chromosome Pairing;12
C0033684;Proteins;AUGMENTS;C0040649;Transcription, Genetic;294
C0013227;Pharmaceutical Preparations;AUGMENTS;C0005955;Bone Marrow Cells;7
C1366832|51761;ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2|ATP8A2;AUGMENTS;C0162638;Apoptosis;15
C0007745;Ceramides;AUGMENTS;C0162638;Apoptosis;614
C0015688;Fatty Acids, Nonesterified;AUGMENTS;C0162638;Apoptosis;96
C0017725;Glucose;AUGMENTS;C0162638;Apoptosis;135
C0008377;Cholesterol;AUGMENTS;C0028754;Obesity;9
C0033554;Prostaglandins;AUGMENTS;C0022864;Labor (Childbirth);177
C0012854;DNA;AUGMENTS;C0016315;Fluorescence;93
4137;MAPT;AUGMENTS;C0026046;Microtubules;21
C0037668;Somatotropin-Releasing Hormone;AUGMENTS;C1154417;growth hormone secretion;58
C0033634;Protein Kinase C;AUGMENTS;C0235169;Excitability;6
C0034809;Glucocorticoid Receptor;AUGMENTS;C1284077;Entire hippocampus;16
C0030054;Oxygen;AUGMENTS;C0035203;Respiration;41
C0028040;Nicotine;AUGMENTS;C0599946;attenuation;14
3497;IGHE;AUGMENTS;C1155074;mast cell activation;36
C1336635|7098;TLR3 gene|TLR3;AUGMENTS;C0037083;Signal Transduction;14
C1448177|7124;TNF protein, human|TNF;AUGMENTS;C0162638;Apoptosis;221
C0243192;agonists;AUGMENTS;C0026649;Movement;30
C0043047;Water;AUGMENTS;C0085406;Anisotropy;6
C0079281;Endothelin-1;AUGMENTS;C0456261;Pulmonary Vascular Resistance;6
C0030956;Peptides;AUGMENTS;C0683201;specific immunity;20
C0019588;Histamine;AUGMENTS;C0232552;Gastric acid secretion;206
C0026549;Morphine;AUGMENTS;C0162638;Apoptosis;18
C0025219;Melatonin;AUGMENTS;C0392673;Adaptation;9
C0039654;Tetradecanoylphorbol Acetate;AUGMENTS;C0023516;Leukocytes;76
C0023810;Lipopolysaccharides;AUGMENTS;C1321301;Peripheral blood mononuclear cell;422
C0023810;Lipopolysaccharides;AUGMENTS;C0005773;Blood Cells;29
C0039654;Tetradecanoylphorbol Acetate;AUGMENTS;C0162493;Transcriptional Activation;38
C0033684;Proteins;AUGMENTS;C0025255;Tissue membrane;28
C0026187;Minocycline;AUGMENTS;C0206116;Microglia;61
C0000975;Acetate;AUGMENTS;C1157690;methanogenesis;14
C0000975;Acetate;AUGMENTS;C1159420;sulfate reduction;6
C0002367;Aluminum;AUGMENTS;C0018270;Growth;55
C0024706;Manganese;AUGMENTS;C1330957;Cytokinesis of the fertilized ovum;10
C0002475;Mitomycin;AUGMENTS;C0007634;Cells;48
C0006675;Calcium;AUGMENTS;C0600688;Toxic effect;12
C0040383;Toluene;AUGMENTS;C0007634;Cells;12
C0038720;Sulfates, Inorganic;AUGMENTS;C0005482;Biodegradation;6
C0009968;Copper;AUGMENTS;C1151320;laccase activity;7
C0025552;Metals;AUGMENTS;C0542479;Energy, Physics;10
C0052350;arginyl-glycyl-aspartic acid;AUGMENTS;C0243144;uptake;10
C0022023;Ions;AUGMENTS;C0001511;Adhesions;160
C0018353;Guanosine Triphosphate;AUGMENTS;C0015283;Exocytosis;30
