subject_cui;subject_name;predicate;object_cui;object_name;frequency
C1307407|2475;FRAP1 protein, human|MTOR;DISRUPTS;C0007634;Cells;24
C0220839;Glutamate;DISRUPTS;C0243144;uptake;117
C0812198|581;BAX gene|BAX;DISRUPTS;C1159816;anti-apoptosis;7
C1257880;Linoleic Acids, Conjugated;DISRUPTS;C0004153;Atherosclerosis;6
C1367597|174;AFP gene|AFP;DISRUPTS;C0018270;Growth;24
C0021756;Interleukin-2;DISRUPTS;C0039194;T-Lymphocyte;54
C0968383;SP600125;DISRUPTS;C0031715;Phosphorylation;63
C0968383;SP600125;DISRUPTS;C0041904;Up-Regulation (Physiology);17
C0017337;Genes;DISRUPTS;C0162638;Apoptosis;150
C0003211;Anti-Inflammatory Agents, Non-Steroidal;DISRUPTS;C0596263;Carcinogenesis;40
C1142644|1576;Cytochrome P450 3A4|CYP3A4;DISRUPTS;C0687133;Drug Interactions;6
C0246415;docetaxel;DISRUPTS;C0018270;Growth;79
C0144576;Paclitaxel;DISRUPTS;C0598934;tumor growth;140
C0012854;DNA;DISRUPTS;C0598934;tumor growth;39
C1519595;Transcript;DISRUPTS;C0006142;Malignant neoplasm of breast;10
C0058381;diphenyleneiodonium;DISRUPTS;C0031715;Phosphorylation;7
C0003241;Antibodies;DISRUPTS;C0162638;Apoptosis;61
C1610033|3439;Interferon Alpha, Human|IFNA1;DISRUPTS;C0162638;Apoptosis;10
C0086156;Difluoromethylornithine;DISRUPTS;C1156661;polyamine biosynthesis;28
C0208355;multicatalytic endopeptidase complex;DISRUPTS;C0162638;Apoptosis;29
C0034802|1956;Epidermal Growth Factor Receptor|EGFR;DISRUPTS;C0007634;Cells;35
C0003015;Angiotensin-Converting Enzyme Inhibitors;DISRUPTS;C0005823;Blood Pressure;142
C0106141;beta-tricalcium phosphate;DISRUPTS;C0007634;Cells;6
C0066117;methional;DISRUPTS;C0012860;DNA Damage;10
C0074721;Sodium Azide;DISRUPTS;C0012860;DNA Damage;6
C0037668;Somatotropin-Releasing Hormone;DISRUPTS;C0006826;Malignant Neoplasms;7
C0028128;Nitric Oxide;DISRUPTS;C0262613;Renal mass;7
C0298346;PD 98059;DISRUPTS;C1150604;MAP kinase kinase activity;226
C1333337|1969;EPHA2 gene|EPHA2;DISRUPTS;C0018270;Growth;6
C1099354;RNA, Small Interfering;DISRUPTS;C0598934;tumor growth;178
C0812198|581;BAX gene|BAX;DISRUPTS;C1153488;apoptogenic cytochrome c release channel activity;363
C0013030;Dopamine;DISRUPTS;C1284077;Entire hippocampus;10
C0041385;Tunicamycin;DISRUPTS;C0017982;glycosylation;421
C0018966;Heme;DISRUPTS;C0243144;uptake;7
C0001898;Alanine;DISRUPTS;C0243102;enzyme activity;40
C0270611;Brain Injuries;DISRUPTS;C0162638;Apoptosis;30
C0935989;imatinib;DISRUPTS;C0813988;autophosphorylation;8
C1268567;Protein-tyrosine kinase inhibitor;DISRUPTS;C0813988;autophosphorylation;10
C0073590;rosmarinic acid;DISRUPTS;C0162638;Apoptosis;17
C0073590;rosmarinic acid;DISRUPTS;C0596290;Cell Proliferation;7
C0010592;Cyclosporine;DISRUPTS;C0031164;Permeability;12
C0007004;Carbohydrates;DISRUPTS;C0031764;Photosynthesis;18
C0038636;Sucrose;DISRUPTS;C0018270;Growth;20
C0008168;Chloramphenicol;DISRUPTS;C0243102;enzyme activity;6
C0003995;Asparagine;DISRUPTS;C0018270;Growth;13
C0004015;Aspartic Acid;DISRUPTS;C0018270;Growth;8
C0010654;Cysteine;DISRUPTS;C0018270;Growth;52
C0033382;Proline;DISRUPTS;C0018270;Growth;35
C0040005;Threonine;DISRUPTS;C0018270;Growth;24
C0242209;Sugars;DISRUPTS;C0018903;Hemagglutination;17
C0061764;glyphosate;DISRUPTS;C0018270;Growth;38
C0037494;Sodium Chloride;DISRUPTS;C0007595;Cell Growth;13
C0013618;Edetic Acid;DISRUPTS;C0243102;enzyme activity;157
C0031493;Phenylmethylsulfonyl Fluoride;DISRUPTS;C0243102;enzyme activity;43
C0870883;Metabolites;DISRUPTS;C0018270;Growth;97
C0003387;Antimycin A;DISRUPTS;C0013846;Electron Transport;27
C0005009;Benomyl;DISRUPTS;C0018270;Growth;21
C0023705;Lignin;DISRUPTS;C0018270;Growth;23
C0002607;Ammonia;DISRUPTS;C0018270;Growth;38
C0076374;Thapsigargin;DISRUPTS;C0243144;uptake;52
C0040383;Toluene;DISRUPTS;C0018270;Growth;12
C0016849;Furaldehyde;DISRUPTS;C0018270;Growth;28
C0007018;Carbon Monoxide;DISRUPTS;C0026029;Microsomes;6
C0008168;Chloramphenicol;DISRUPTS;C0597295;Protein Biosynthesis;179
C0035701;Ribosomal RNA;DISRUPTS;C0007634;Cells;13
C0001052;Acetylene;DISRUPTS;C0018270;Growth;9
C0015075;Ethylene;DISRUPTS;C0018270;Growth;92
C0020242;Hydrocarbons;DISRUPTS;C0018270;Growth;17
C0003232;Antibiotics;DISRUPTS;C0018270;Growth;553
C0060562;fluoromethane;DISRUPTS;C1157690;methanogenesis;14
C0015691;Fatty Acids, Volatile;DISRUPTS;C0018270;Growth;22
C0596577;Flavonoids;DISRUPTS;C1140999;Contraction;7
C0021246;Indomethacin;DISRUPTS;C0598934;tumor growth;29
C0667830;caspase-8;DISRUPTS;C1153488;apoptogenic cytochrome c release channel activity;17
C0013227;Pharmaceutical Preparations;DISRUPTS;C0018270;Growth;795
C0013227;Pharmaceutical Preparations;DISRUPTS;C0031843;physiological aspects;35
C0936060;indoleacetic acid;DISRUPTS;C0018270;Growth;42
C1328819;small molecule;DISRUPTS;C0243102;enzyme activity;44
C0243192;agonists;DISRUPTS;C1151015;adenylate cyclase activity;47
C0475463;Neutralizing antibody;DISRUPTS;C0162493;Transcriptional Activation;7
C0002520;Amino Acids;DISRUPTS;C1510470;Motility;6
C1610033|3439;Interferon Alpha, Human|IFNA1;DISRUPTS;C0042774;Virus Replication;13
C0378310;CCAAT-Enhancer-Binding Protein-alpha;DISRUPTS;C0018270;Growth;10
C0035696;RNA, Messenger;DISRUPTS;C0040711;Translation, Genetic;207
C0126732;I Kappa B-Alpha;DISRUPTS;C0031715;Phosphorylation;158
C0663914;IkappaB kinase;DISRUPTS;C0031715;Phosphorylation;8
C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;DISRUPTS;C0007587;Cell Death;35
C0001455;Cyclic AMP;DISRUPTS;C0162638;Apoptosis;28
C0018338;Cyclic GMP;DISRUPTS;C0162638;Apoptosis;12
C0102118;Alendronate;DISRUPTS;C0022122;Bone structure of ischium;15
C0008838;Cisplatin;DISRUPTS;C0596290;Cell Proliferation;132
C0060291;ferulic acid;DISRUPTS;C0596290;Cell Proliferation;6
C0053355;bestatin;DISRUPTS;C1150096;aminopeptidase activity;21
C0025219;Melatonin;DISRUPTS;C0596402;cytotoxicity;6
C0028630;Nucleotides;DISRUPTS;C0007634;Cells;15
C0175677;Injury;DISRUPTS;C1326120;cell activation;10
C0085149;Tacrolimus;DISRUPTS;C1155046;T-Cell Proliferation;10
C0908957;4-PBA;DISRUPTS;C0038435;Stress;39
C0033684;Proteins;DISRUPTS;C0007620;Cell Survival;27
C0087163;Levocarnitine;DISRUPTS;C0243144;uptake;11
C0013227;Pharmaceutical Preparations;DISRUPTS;C1160577;acid secretion;40
C0033684;Proteins;DISRUPTS;C0007595;Cell Growth;75
C0299792;aripiprazole;DISRUPTS;C0870430;Discriminative Stimulus;6
C0144576;Paclitaxel;DISRUPTS;C0031715;Phosphorylation;15
C0162713;Photosensitizing Agents;DISRUPTS;C0007634;Cells;27
C0007009;Carbon;DISRUPTS;C0018270;Growth;53
C0030956;Peptides;DISRUPTS;C0334227;Tumor cells, malignant;24
C1257954;Cyclooxygenase 2 Inhibitors;DISRUPTS;C1514503;Prostaglandin Production;12
C0035696;RNA, Messenger;DISRUPTS;C0040649;Transcription, Genetic;52
C0007367;CATALASE;DISRUPTS;C0016315;Fluorescence;8
C0250870|5268;maspin|SERPINB5;DISRUPTS;C0598934;tumor growth;15
C0079427;Tumor Suppressor Genes;DISRUPTS;C0598934;tumor growth;69
C0001898;Alanine;DISRUPTS;C0018270;Growth;23
C0079189;cytokine;DISRUPTS;C0301872;Immune response;83
C0812234|387;RHOA gene|RHOA;DISRUPTS;C0007634;Cells;17
C0003082;Anisomycin;DISRUPTS;C0597295;Protein Biosynthesis;90
C0010572;Cycloheximide;DISRUPTS;C0597295;Protein Biosynthesis;1301
C0245382;Galectin 3;DISRUPTS;C0162638;Apoptosis;24
C0598658;antibody conjugate;DISRUPTS;C0027651;Neoplasm;6
C0013227;Pharmaceutical Preparations;DISRUPTS;C0221284;Leptocyte;10
C0006931;Capsaicin;DISRUPTS;C0018270;Growth;58
C0012854;DNA;DISRUPTS;C0018270;Growth;90
C1364818;APP gene;DISRUPTS;C0025260;Memory;19
C0008356;Cholera Toxin;DISRUPTS;C0007634;Cells;8
C0010531;Cyclic AMP-Dependent Protein Kinases;DISRUPTS;C0007595;Cell Growth;6
C0031727;Phosphotransferases;DISRUPTS;C0007595;Cell Growth;15
C0063765;Iodoacetic Acid;DISRUPTS;C0017952;Glycolysis;28
C0003241;Antibodies;DISRUPTS;C0041904;Up-Regulation (Physiology);7
C0014939;Estrogens;DISRUPTS;C0018270;Growth;104
C0664336;survivin;DISRUPTS;C0162638;Apoptosis;562
C0026187;Minocycline;DISRUPTS;C0041904;Up-Regulation (Physiology);8
C0017337;Genes;DISRUPTS;C0013935;Embryo;31
C1321974;PRESERVATIVE;DISRUPTS;C0018270;Growth;30
C0001367;Acyclovir;DISRUPTS;C0598312;DNA biosynthesis;9
C0243192;agonists;DISRUPTS;C0232896;Reproductive function;7
C0001443;Adenosine;DISRUPTS;C0027882;Neurons;38
C0003402;Antioxidants;DISRUPTS;C0023775;Lipid Peroxidation;375
7422;VEGFA;DISRUPTS;C0007634;Cells;15
C0035696;RNA, Messenger;DISRUPTS;C0023884;Liver;15
C0299250|1154;Cytokine Inducible SH2-Containing Protein|CISH;DISRUPTS;C0037083;Signal Transduction;34
C0013227;Pharmaceutical Preparations;DISRUPTS;C0027651;Neoplasm;78
C0079904;NF-kappa B;DISRUPTS;C0162638;Apoptosis;200
C0010467;Curcumin;DISRUPTS;C1519670;Tumor Angiogenesis;7
C0012398;Dimethyl Adipimidate;DISRUPTS;C0221283;Drepanocyte;7
C0014912;Estradiol;DISRUPTS;C0162638;Apoptosis;67
C0006644;Caffeine;DISRUPTS;C0031715;Phosphorylation;17
C0243044;HSP90 Heat-Shock Proteins;DISRUPTS;C0598934;tumor growth;6
C0013227;Pharmaceutical Preparations;DISRUPTS;C0334227;Tumor cells, malignant;233
C0079427;Tumor Suppressor Genes;DISRUPTS;C0007595;Cell Growth;69
C1295507;Bontoxilysin;DISRUPTS;C0598964;neurotransmitter secretion;28
C0242402;Opioids;DISRUPTS;C1151015;adenylate cyclase activity;14
C0041004;Triglycerides;DISRUPTS;C0023796;Lipolysis;20
C0033554;Prostaglandins;DISRUPTS;C0015283;Exocytosis;10
C0175677;Injury;DISRUPTS;C0014792;Erythrocytes;6
C0016365;Fluoxetine;DISRUPTS;C0599702;reuptake;94
C0003289;Antidepressive Agents;DISRUPTS;C0599702;reuptake;195
C0049065;5-aza-2'-deoxycytidine;DISRUPTS;C0376452;DNA Methylation;83
C1097641;2-cyclopentyl-5-(5-isoquinolylsulfonyl)-6-nitro-1H-benzo(D)imidazole;DISRUPTS;C0004093;Asthenia;8
C0043047;Water;DISRUPTS;C0035150;Reproduction;8
C0279516;Anti-Bacterial Agents;DISRUPTS;C0018270;Growth;292
C0079427;Tumor Suppressor Genes;DISRUPTS;C0007586;Cell Cycle;27
C0007974;Chelating Agents;DISRUPTS;C0007587;Cell Death;10
C0025543;Metalloproteases;DISRUPTS;C0015350;Extracellular Matrix;39
C0014442;Enzymes;DISRUPTS;C0015350;Extracellular Matrix;82
C0079419|7157;TP53 gene|TP53;DISRUPTS;C0018270;Growth;232
C0014264;Endotoxins;DISRUPTS;C0007634;Cells;6
C0023820;Lipoproteins;DISRUPTS;C0007634;Cells;13
C0013227;Pharmaceutical Preparations;DISRUPTS;C0017262;Gene Expression;24
C0087111;Therapeutic procedure;DISRUPTS;C0600688;Toxic effect;268
C0000975;Acetate;DISRUPTS;C0598934;tumor growth;10
C0017337;Genes;DISRUPTS;C0042333;Variation (Genetics);6
C0003211;Anti-Inflammatory Agents, Non-Steroidal;DISRUPTS;C0043240;Wound Healing;11
C0755562;U 0126;DISRUPTS;C1150604;MAP kinase kinase activity;181
C1516312;Caspase Inhibitor;DISRUPTS;C1330957;Cytokinesis of the fertilized ovum;42
C0062941;homoharringtonine;DISRUPTS;C0597295;Protein Biosynthesis;16
C0043481;Zinc;DISRUPTS;C1148673;DNA Binding;10
C0667093;methyl-beta-cyclodextrin;DISRUPTS;C0162638;Apoptosis;8
C0001511;Adhesions;DISRUPTS;C1325881;biofilm formation;11
C0003232;Antibiotics;DISRUPTS;C0598312;DNA biosynthesis;20
C1332826|1544;CYP1A2 gene|CYP1A2;DISRUPTS;C0004093;Asthenia;6
10533;ATG7;DISRUPTS;C0004391;Autophagy;55
C0007367;CATALASE;DISRUPTS;C0004391;Autophagy;7
C0162772;Reactive Oxygen Species;DISRUPTS;C0004391;Autophagy;52
C0208355;multicatalytic endopeptidase complex;DISRUPTS;C1330957;Cytokinesis of the fertilized ovum;16
C0042071;Urokinase;DISRUPTS;C1154401;cell invasion;11
C1565434;Focal Adhesion Protein-Tyrosine Kinases;DISRUPTS;C1519726;Tyrosine Phosphorylation;10
C0534519;Caspase-1;DISRUPTS;C0024432;macrophage;6
C0021753;Interleukin-1 beta;DISRUPTS;C0024432;macrophage;32
C0021760;Interleukin-6;DISRUPTS;C0024432;macrophage;41
C1456820|7124;Tumor Necrosis Factor-alpha|TNF;DISRUPTS;C0024432;macrophage;20
C0243192;agonists;DISRUPTS;C0024432;macrophage;9
C1099354;RNA, Small Interfering;DISRUPTS;C0040624;Trans-Activation (Genetics);10
C0678133;Taxol;DISRUPTS;C0007634;Cells;22
C0003392;Antineoplastic Agents;DISRUPTS;C0007634;Cells;22
C0012403;Dimethyl Sulfoxide;DISRUPTS;C0007634;Cells;10
C0019236;Herbicides;DISRUPTS;C0596074;Amino Acid Biosynthesis;8
C0079427;Tumor Suppressor Genes;DISRUPTS;C0006826;Malignant Neoplasms;193
C0728940;Excision;DISRUPTS;C0600688;Toxic effect;12
C0031469;Phenylephrine;DISRUPTS;C1140999;Contraction;20
C0030956;Peptides;DISRUPTS;C0025255;Tissue membrane;23
C0388088;FTY 720;DISRUPTS;C0024264;Lymphocyte;16
C0026549;Morphine;DISRUPTS;C0023185;Learning;7
C0017710;Glucocorticoids;DISRUPTS;C0743925;Fetal Growth;14
C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;DISRUPTS;C1150423;kinase activity;21
1026|9338|27065|644914;CDKN1A|TCEAL1|NSG1|H3F3AP6;DISRUPTS;C1516334;Cell Cycle Progression;33
C0002520;Amino Acids;DISRUPTS;C0243102;enzyme activity;33
C0021311;Infection;DISRUPTS;C0039194;T-Lymphocyte;37
C0144576;Paclitaxel;DISRUPTS;C0018270;Growth;202
C0069515|2064;erbB-2 Receptor|ERBB2;DISRUPTS;C0031715;Phosphorylation;18
C0812198|581;BAX gene|BAX;DISRUPTS;C0007634;Cells;63
C1142985;ezetimibe;DISRUPTS;C1160602;cholesterol absorption;106
C0247025;tirofiban;DISRUPTS;C0005821;Blood Platelets;49
C0014442;Enzymes;DISRUPTS;C0243102;enzyme activity;131
C0538927;celecoxib;DISRUPTS;C0018270;Growth;134
C0538927;celecoxib;DISRUPTS;C0596290;Cell Proliferation;45
C0010467;Curcumin;DISRUPTS;C0037080;Signal Pathways;24
C0010467;Curcumin;DISRUPTS;C0018270;Growth;329
C0010467;Curcumin;DISRUPTS;C0031715;Phosphorylation;100
C0017337;Genes;DISRUPTS;C0027651;Neoplasm;76
C0675974;17-(allylamino)-17-demethoxygeldanamycin;DISRUPTS;C0007595;Cell Growth;8
C0299583;Leptin;DISRUPTS;C0029433;Osteogenesis;10
C0026882;Mutation;DISRUPTS;C1148923;ATP binding;18
C0390425;cyclophilin D;DISRUPTS;C0162638;Apoptosis;7
C0208355;multicatalytic endopeptidase complex;DISRUPTS;C0887840;Nuclear Export;6
C0033684;Proteins;DISRUPTS;C0018270;Growth;364
C0165519;Gelatinase B;DISRUPTS;C0162638;Apoptosis;13
C0021753;Interleukin-1 beta;DISRUPTS;C0162638;Apoptosis;39
C0733470|3439;human leukocyte interferon|IFNA1;DISRUPTS;C0162638;Apoptosis;15
C0022180;Isoflurane;DISRUPTS;C0162638;Apoptosis;18
C0022180;Isoflurane;DISRUPTS;C0021308;Infarction;15
C0008905;Clathrin;DISRUPTS;C0871786;Internalization;10
C0023816|4023;LIPOPROTEIN LIPASE|LPL;DISRUPTS;C1149837;lipoprotein lipase activity;6
C0017797;Glutamine;DISRUPTS;C0031715;Phosphorylation;8
C0013227;Pharmaceutical Preparations;DISRUPTS;C0243102;enzyme activity;68
C0010514;Cyanoketone;DISRUPTS;C0597513;Steroid biosynthesis;7
C0175677;Injury;DISRUPTS;C0024432;macrophage;13
C0003320;Antigens;DISRUPTS;C0206431;Antigen Presentation;9
C0031603;inorganic phosphate;DISRUPTS;C0018270;Growth;9
C0001455;Cyclic AMP;DISRUPTS;C0007595;Cell Growth;20
C0016601;Forskolin;DISRUPTS;C0007595;Cell Growth;7
C0135575|5829;paxillin|PXN;DISRUPTS;C0031715;Phosphorylation;7
C0017337;Genes;DISRUPTS;C0014609;Epithelium;6
C1257954;Cyclooxygenase 2 Inhibitors;DISRUPTS;C0027651;Neoplasm;9
C0012854;DNA;DISRUPTS;C0007586;Cell Cycle;24
C0020166;Humic Acids;DISRUPTS;C0018270;Growth;9
C0028128;Nitric Oxide;DISRUPTS;C0598934;tumor growth;18
C1520059;Vitamin D Analog;DISRUPTS;C0312431;Hormone secretion;8
C0003009;Angiotensin II;DISRUPTS;C0011860;Diabetes Mellitus, Non-Insulin-Dependent;28
C0597357;receptor;DISRUPTS;C0678903;Neuronal Transmission;15
C0026882;Mutation;DISRUPTS;C0031715;Phosphorylation;185
C0040085;Thymidylate Synthase;DISRUPTS;C0007634;Cells;11
C0210657;pemetrexed;DISRUPTS;C0018270;Growth;18
C0041348;Tubulin;DISRUPTS;C0026046;Microtubules;34
C0376515|596;BCL2 gene|BCL2;DISRUPTS;C0043240;Wound Healing;7
C0056801;cyclopiazonic acid;DISRUPTS;C1140999;Contraction;15
C0076374;Thapsigargin;DISRUPTS;C1140999;Contraction;18
C0004057;Aspirin;DISRUPTS;C1254881;Platelet function;135
C0061179;geldanamycin;DISRUPTS;C0031715;Phosphorylation;13
283955;PKD1P2;DISRUPTS;C0243102;enzyme activity;57
