subject_cui;subject_name;predicate;object_cui;object_name;frequency
C0001924;Albumins;STIMULATES;C0021760;Interleukin-6;6
C0016006;Fibrinogen;STIMULATES;C0021760;Interleukin-6;13
C0002006;Aldosterone;STIMULATES;C0031727;Phosphotransferases;17
C0040018;Thrombin;STIMULATES;C0079189;cytokine;14
C0077503;Tumor Necrosis Factor Receptor;STIMULATES;C0079904;NF-kappa B;55
C0077503;Tumor Necrosis Factor Receptor;STIMULATES;C0752312;Mitogen-Activated Protein Kinases;6
C0023810;Lipopolysaccharides;STIMULATES;7124;TNF;243
C0136157;Peroxynitrite;STIMULATES;C0172537;Gelatinase A;6
C0014442;Enzymes;STIMULATES;C1579410;Nucleoside Analogs;6
C0040078;Thymidine Kinase;STIMULATES;C1579410;Nucleoside Analogs;10
C0020971;Immunization;STIMULATES;C0301872;Immune response;500
C0021641|3630;Insulin|INS;STIMULATES;C1519726;Tyrosine Phosphorylation;428
C0021641|3630;Insulin|INS;STIMULATES;C0086982;Signal Transduction Pathways;15
C0021665;Insulin-Like Growth Factor I;STIMULATES;C0086982;Signal Transduction Pathways;29
11331|64374;PHB2|SIL1;STIMULATES;C0035696;RNA, Messenger;6
C0022471;Kainic Acid;STIMULATES;C0035696;RNA, Messenger;8
C0001041;Acetylcholine;STIMULATES;C0031849;Physostigmine;7
C0032433;Polyamines;STIMULATES;C0014442;Enzymes;21
C0037473;Sodium;STIMULATES;C0596902;Membrane Transport Proteins;356
C0021641|3630;Insulin|INS;STIMULATES;C0596843;Adipogenesis;13
C0011777;Dexamethasone;STIMULATES;C0166417;PPAR gamma;8
C0021246;Indomethacin;STIMULATES;C0166417;PPAR gamma;17
C0072978|6352;RANTES|CCL5;STIMULATES;C0039194;T-Lymphocyte;17
C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;STIMULATES;C0206454;Growth Factor Receptors;7
C0039848;Thiamine Pyrophosphate;STIMULATES;C0014442;Enzymes;279
C0039848;Thiamine Pyrophosphate;STIMULATES;C0007054;Carboxy-Lyases;39
C0079419|7157;TP53 gene|TP53;STIMULATES;C0010656;caspase;30
C0033684;Proteins;STIMULATES;C0013227;Pharmaceutical Preparations;20
C0013227;Pharmaceutical Preparations;STIMULATES;C0014442;Enzymes;66
